sex	age	sh.l	sh.m	sh.s	ll.l	ll.m	ll.s	shh.l	shh.m	shh.s
male	0.25	3.072	41.691	0.045	1.061	19.376	0.080	5.220	0.682	0.034
male	0.50	3.087	45.669	0.044	0.936	22.136	0.078	5.220	0.671	0.034
male	0.75	3.092	48.035	0.044	0.824	24.605	0.077	5.220	0.660	0.034
male	1.0	3.087	49.710	0.044	0.729	26.922	0.075	5.220	0.648	0.034
male	2.0	3.030	53.599	0.046	0.536	35.711	0.071	5.220	0.604	0.034
male	3.0	2.971	55.952	0.046	0.513	42.289	0.067	5.220	0.572	0.033
male	4.0	2.886	58.741	0.047	0.530	47.110	0.064	5.220	0.555	0.033
male	5.0	2.768	61.831	0.047	0.558	51.291	0.062	5.220	0.546	0.031
male	6.0	2.624	64.916	0.047	0.588	55.143	0.061	5.220	0.541	0.030
male	7.0	2.474	67.784	0.046	0.617	58.826	0.060	5.220	0.536	0.029
male	8.0	2.331	70.446	0.047	0.644	62.405	0.060	5.220	0.531	0.028
male	9.0	2.212	72.642	0.047	0.672	65.720	0.059	5.220	0.525	0.027
male	10.0	2.115	74.502	0.048	0.703	68.825	0.059	5.220	0.520	0.026
male	11.0	2.023	76.435	0.048	0.742	71.947	0.059	5.220	0.516	0.025
male	12.0	1.931	78.893	0.049	0.791	75.332	0.059	5.220	0.513	0.025
male	13.0	1.868	81.971	0.050	0.851	79.180	0.059	5.220	0.509	0.025
male	14.0	1.871	85.482	0.050	0.910	82.832	0.058	5.220	0.508	0.026
male	15.0	1.925	88.994	0.047	0.957	85.618	0.057	5.220	0.510	0.026
male	16.0	1.985	91.555	0.044	0.990	87.476	0.057	5.220	0.512	0.027
male	17.0	2.024	93.017	0.042	1.007	88.456	0.057	5.220	0.513	0.027
male	18.0	2.047	93.854	0.041	1.013	88.821	0.057	5.220	0.515	0.028
male	19.0	2.059	94.311	0.040	1.014	88.885	0.057	5.220	0.516	0.028
male	20.0	2.062	94.432	0.040	1.016	88.954	0.057	5.220	0.516	0.029
male	21.0	2.060	94.654	0.040	1.019	89.144	0.057	5.220	0.513	0.029
female	0.25	1.510	40.669	0.045	0.707	18.895	0.079	4.720	0.683	0.036
female	0.50	1.445	44.742	0.045	0.673	21.518	0.077	4.720	0.672	0.036
female	0.75	1.386	46.962	0.046	0.650	23.999	0.075	4.720	0.660	0.036
female	1.0	1.336	48.719	0.046	0.641	26.364	0.074	4.720	0.648	0.036
female	2.0	1.234	52.428	0.048	0.719	35.261	0.069	4.720	0.601	0.036
female	3.0	1.194	54.615	0.049	0.785	42.145	0.066	4.720	0.568	0.035
female	4.0	1.164	57.761	0.049	0.764	46.801	0.063	4.720	0.553	0.034
female	5.0	1.147	61.155	0.050	0.713	50.650	0.061	4.720	0.546	0.032
female	6.0	1.144	64.146	0.050	0.660	54.452	0.060	4.720	0.541	0.031
female	7.0	1.153	66.810	0.050	0.625	58.309	0.059	4.720	0.536	0.029
female	8.0	1.176	69.573	0.050	0.624	62.011	0.058	4.720	0.531	0.028
female	9.0	1.217	72.287	0.049	0.662	65.409	0.058	4.720	0.526	0.027
female	10.0	1.277	74.730	0.049	0.738	68.658	0.057	4.720	0.522	0.028
female	11.0	1.357	77.178	0.048	0.850	71.969	0.057	4.720	0.519	0.027
female	12.0	1.471	80.100	0.047	0.982	75.247	0.056	4.720	0.516	0.027
female	13.0	1.610	83.126	0.045	1.101	77.896	0.056	4.720	0.516	0.027
female	14.0	1.735	85.498	0.043	1.175	79.464	0.056	4.720	0.518	0.027
female	15.0	1.823	87.060	0.041	1.209	80.153	0.055	4.720	0.522	0.027
female	16.0	1.883	88.108	0.040	1.225	80.491	0.055	4.720	0.524	0.027
female	17.0	1.907	88.544	0.039	1.234	80.657	0.055	4.720	0.524	0.027
female	18.0	1.917	88.707	0.039	1.238	80.749	0.055	4.720	0.524	0.027
female	19.0	1.933	88.994	0.039	1.242	80.827	0.055	4.720	0.525	0.027
female	20.0	1.953	89.347	0.038	1.248	80.956	0.055	4.720	0.526	0.027
female	21.0	1.969	89.627	0.038	1.253	81.057	0.055	4.720	0.526	0.027
