"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","6481269","0.2","0.2","0.2","1.8","1.8","1.8","0.34","1.06","","","","","","","","",""
" 0-5","553390","0","0","0","5.5","5.4","5.6","0.18","1.38","","","","","","","","",""
" 6-11","704009","2.2","2.2","2.3","8.7","8.6","8.8","0.18","1.25","","","","","","","","",""
" 12-23","1464870","0","0","0","1","1","1","0.41","0.97","","","","","","","","",""
" 24-35","1059399","0","0","0","0","0","0","0.53","1.08","","","","","","","","",""
" 36-47","1120644","0","0","0","0.7","0.7","0.7","0.15","0.96","","","","","","","","",""
" 48-60","1578956","0","0","0","0","0","0","0.41","0.92","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","6481269","0.5","0.4","0.5","6.6","6.6","6.6","-0.11","1.13","","","","","","","","",""
" 0-5","553390","0","0","0","1.3","1.3","1.4","0.1","1.43","","","","","","","","",""
" 6-11","704009","2.2","2.2","2.3","10.2","10.2","10.3","-0.27","1.31","","","","","","","","",""
" 12-23","1464870","0.4","0.4","0.4","6","6","6.1","-0.13","1.04","","","","","","","","",""
" 24-35","1059399","0","0","0","3.5","3.5","3.6","-0.12","0.96","","","","","","","","",""
" 36-47","1120644","0.7","0.7","0.7","9.5","9.5","9.6","-0.31","1.12","","","","","","","","",""
" 48-60","1578956","0","0","0","7.3","7.3","7.4","0.04","1.1","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","6481269","0.1","0.1","0.1","0.6","0.6","0.6","31.4","31.4","31.4","7.6","7.6","7.6","0.5","0.5","0.5","0.57","0.96"
" 0-5","553390","0.8","0.8","0.8","0.8","0.8","0.8","22.6","22.5","22.7","3.4","3.4","3.5","0","0","0","0.19","1.05"
" 6-11","704009","0","0","0","3.4","3.4","3.4","41.5","41.4","41.7","4","4","4","0.3","0.3","0.3","0.53","1.13"
" 12-23","1464870","0","0","0","0","0","0","29.4","29.3","29.4","7.7","7.6","7.7","0.5","0.5","0.5","0.63","0.93"
" 24-35","1059399","0","0","0","0","0","0","40.8","40.7","40.8","20.6","20.5","20.7","1.5","1.4","1.5","0.82","1.1"
" 36-47","1120644","0","0","0","0","0","0","27","26.9","27.1","5.5","5.4","5.5","0","0","0","0.49","0.81"
" 48-60","1578956","0","0","0","0.6","0.6","0.6","28.7","28.6","28.8","3.5","3.5","3.5","0.5","0.5","0.5","0.55","0.8"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","6481269","0.1","0.1","0.1","0.7","0.7","0.7","31.9","31.9","32","8.2","8.2","8.2","0.5","0.5","0.5","0.6","0.98"
" 0-5","553390","0.8","0.8","0.8","2.6","2.5","2.6","23.8","23.7","23.9","8.6","8.5","8.7","0","0","0","0.19","1.23"
" 6-11","704009","0","0","0","3.4","3.4","3.4","30.4","30.3","30.5","4.5","4.5","4.6","0","0","0","0.46","1.16"
" 12-23","1464870","0","0","0","0","0","0","32.2","32.1","32.2","8.2","8.1","8.2","0.5","0.5","0.5","0.69","0.92"
" 24-35","1059399","0","0","0","0","0","0","42.2","42.1","42.2","21.4","21.3","21.4","1.5","1.4","1.5","0.87","1.1"
" 36-47","1120644","0","0","0","0","0","0","26.7","26.6","26.8","5.5","5.4","5.5","0","0","0","0.51","0.8"
" 48-60","1578956","0","0","0","0.6","0.6","0.6","32.1","32","32.2","2.8","2.8","2.9","0.5","0.5","0.5","0.59","0.79"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3382423","0.5","0.5","0.5","2.5","2.4","2.5","0.29","1.12","","","","","","","","",""
" 0-5","367732","0","0","0","7","7","7.1","0.19","1.52","","","","","","","","",""
" 6-11","318197","4.9","4.8","5","13.3","13.2","13.5","-0.14","1.39","","","","","","","","",""
" 12-23","776054","0","0","0","1.9","1.9","1.9","0.17","0.9","","","","","","","","",""
" 24-35","621927","0","0","0","0","0","0","0.39","1.04","","","","","","","","",""
" 36-47","695454","0","0","0","0","0","0","0.17","0.99","","","","","","","","",""
" 48-60","603058","0","0","0","0","0","0","0.77","0.95","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3382423","0.6","0.6","0.7","7.2","7.2","7.2","-0.12","1.26","","","","","","","","",""
" 0-5","367732","0","0","0","2","1.9","2","0.03","1.58","","","","","","","","",""
" 6-11","318197","4.9","4.8","5","16.7","16.6","16.8","-0.68","1.49","","","","","","","","",""
" 12-23","776054","0.8","0.8","0.8","5.6","5.5","5.6","-0.13","1.05","","","","","","","","",""
" 24-35","621927","0","0","0","6","6","6.1","-0.23","1.02","","","","","","","","",""
" 36-47","695454","0","0","0","9.9","9.8","9.9","-0.32","1.24","","","","","","","","",""
" 48-60","603058","0","0","0","5.6","5.5","5.7","0.42","1.2","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","3382423","0","0","0","1","1","1","29.3","29.2","29.3","5.9","5.9","5.9","0.6","0.6","0.6","0.5","0.96"
" 0-5","367732","0","0","0","0","0","0","25.5","25.4","25.7","3.3","3.2","3.3","0","0","0","0.24","1.02"
