"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","6800622","1.3","1.2","1.3","2.7","2.7","2.7","0.33","1.07","","","","","","","","",""
"0-5","556791","0.3","0.3","0.3","5.7","5.7","5.8","0.18","1.38","","","","","","","","",""
" 6-11","726318","4.8","4.7","4.8","11.1","11","11.1","0.18","1.25","","","","","","","","",""
" 12-23","1479353","0","0","0","1","1","1","0.4","0.97","","","","","","","","",""
" 24-35","1279239","2","2","2.1","2","2","2.1","0.5","1.12","","","","","","","","",""
" 36-47","1120644","0","0","0","0.7","0.7","0.7","0.15","0.96","","","","","","","","",""
" 48-60","1638276","1.4","1.4","1.4","1.4","1.4","1.4","0.4","0.95","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","6570047","0.4","0.4","0.5","6.5","6.5","6.5","-0.11","1.13","","","","","","","","",""
"0-5","554939","0","0","0","1.3","1.3","1.4","0.1","1.43","","","","","","","","",""
" 6-11","723009","2.2","2.1","2.2","10","9.9","10","-0.24","1.3","","","","","","","","",""
" 12-23","1464870","0.4","0.4","0.4","6","6","6.1","-0.13","1.04","","","","","","","","",""
" 24-35","1072116","0","0","0","3.5","3.5","3.5","-0.13","0.96","","","","","","","","",""
" 36-47","1120644","0.7","0.7","0.7","9.5","9.5","9.6","-0.31","1.12","","","","","","","","",""
" 48-60","1634469","0","0","0","7.1","7","7.1","0.05","1.1","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","6537439","0.9","0.9","0.9","1.4","1.4","1.4","31.1","31.1","31.2","7.6","7.5","7.6","0.5","0.5","0.5","0.57","0.96"
"0-5","554939","1.1","1.1","1.1","1.1","1.1","1.1","22.5","22.4","22.6","3.4","3.4","3.5","0","0","0","0.19","1.05"
" 6-11","723009","2.6","2.6","2.7","5.9","5.9","6","40.5","40.3","40.6","3.9","3.8","3.9","0.3","0.3","0.3","0.53","1.13"
" 12-23","1464870","0","0","0","0","0","0","29.4","29.3","29.4","7.7","7.6","7.7","0.5","0.5","0.5","0.63","0.93"
" 24-35","1072116","1.2","1.2","1.2","1.2","1.2","1.2","40.3","40.2","40.4","20.4","20.3","20.4","1.4","1.4","1.5","0.82","1.1"
" 36-47","1120644","0","0","0","0","0","0","27","26.9","27.1","5.5","5.4","5.5","0","0","0","0.49","0.81"
" 48-60","1601861","1.4","1.4","1.4","2","2","2","28.3","28.2","28.4","3.5","3.4","3.5","0.5","0.5","0.5","0.55","0.8"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","6545758","0.9","0.9","0.9","1.6","1.6","1.6","31.8","31.7","31.8","8.2","8.2","8.3","0.5","0.5","0.5","0.6","0.98"
"0-5","554939","1.1","1.1","1.1","2.9","2.8","2.9","23.8","23.6","23.9","8.6","8.5","8.6","0","0","0","0.19","1.23"
" 6-11","723009","2.6","2.6","2.7","5.9","5.9","6","29.6","29.5","29.7","4.4","4.4","4.5","0","0","0","0.46","1.16"
" 12-23","1464870","0","0","0","0","0","0","32.2","32.1","32.2","8.2","8.1","8.2","0.5","0.5","0.5","0.69","0.92"
" 24-35","1072116","1.2","1.2","1.2","1.2","1.2","1.2","41.7","41.6","41.7","21.1","21","21.2","1.4","1.4","1.5","0.87","1.1"
" 36-47","1120644","0","0","0","0","0","0","26.7","26.6","26.8","5.5","5.4","5.5","0","0","0","0.51","0.8"
" 48-60","1610180","1.4","1.4","1.4","2","2","2","32","31.9","32.1","3.3","3.3","3.3","0.5","0.5","0.5","0.6","0.8"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3556280","1.5","1.5","1.5","3.4","3.4","3.4","0.27","1.12","","","","","","","","",""
" 0-5","369281","0.4","0.4","0.4","7.4","7.3","7.5","0.19","1.52","","","","","","","","",""
" 6-11","318197","4.9","4.8","5","13.3","13.2","13.5","-0.14","1.39","","","","","","","","",""
" 12-23","790537","0","0","0","1.9","1.8","1.9","0.15","0.9","","","","","","","","",""
" 24-35","730195","1.8","1.8","1.8","1.8","1.8","1.8","0.33","1.04","","","","","","","","",""
" 36-47","695454","0","0","0","0","0","0","0.17","0.99","","","","","","","","",""
" 48-60","652616","3.5","3.5","3.6","3.5","3.5","3.6","0.73","1.05","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3421187","0.6","0.6","0.6","7.1","7.1","7.1","-0.11","1.26","","","","","","","","",""
" 0-5","369281","0","0","0","2","1.9","2","0.04","1.58","","","","","","","","",""
" 6-11","318197","4.9","4.8","5","16.7","16.6","16.8","-0.68","1.49","","","","","","","","",""
" 12-23","776054","0.8","0.8","0.8","5.6","5.5","5.6","-0.13","1.05","","","","","","","","",""
" 24-35","627919","0","0","0","6","5.9","6","-0.24","1.02","","","","","","","","",""
" 36-47","695454","0","0","0","9.9","9.8","9.9","-0.32","1.24","","","","","","","","",""
" 48-60","634282","0","0","0","5.3","5.3","5.4","0.46","1.2","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","3412868","0.9","0.9","0.9","1.9","1.9","1.9","29","29","29.1","5.9","5.8","5.9","0.6","0.6","0.6","0.5","0.96"
" 0-5","369281","0.4","0.4","0.4","0.4","0.4","0.4","25.4","25.3","25.6","3.3","3.2","3.3","0","0","0","0.24","1.02"
" 6-11","318197","0","0","0","7.5","7.4","7.6","37.5","37.3","37.7","4.5","4.4","4.6","0.7","0.6","0.7","0.38","1.22"
" 12-23","776054","0","0","0","0","0","0","15.7","15.6","15.8","3.6","3.6","3.7","1","1","1","0.32","0.82"
" 24-35","627919","1","0.9","1","1","0.9","1","34.9","34.8","35","13.9","13.8","14","1.6","1.6","1.7","0.73","1.08"
" 36-47","695454","0","0","0","0","0","0","33","32.9","33.1","3","3","3.1","0","0","0","0.54","0.77"
" 48-60","625963","3.7","3.6","3.7","5.1","5.1","5.2","33.1","33","33.2","5.9","5.9","6","0","0","0","0.69","0.93"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","3421187","0.9","0.9","0.9","2.1","2.1","2.2","30","29.9","30","7.1","7.1","7.1","0.5","0.5","0.5","0.55","1"
" 0-5","369281","0.4","0.4","0.4","3.1","3","3.1","27.5","27.3","27.6","9.7","9.6","9.8","0","0","0","0.24","1.27"
" 6-11","318197","0","0","0","7.5","7.4","7.6","28.3","28.1","28.4","5.7","5.6","5.8","0","0","0","0.34","1.21"
" 12-23","776054","0","0","0","0","0","0","14.1","14","14.2","4.6","4.5","4.6","1","1","1","0.36","0.8"
" 24-35","627919","1","0.9","1","1","0.9","1","36.2","36","36.3","13.9","13.8","14","1.6","1.6","1.7","0.76","1.07"
" 36-47","695454","0","0","0","0","0","0","33","32.9","33.1","3","3","3.1","0","0","0","0.57","0.77"
" 48-60","634282","3.6","3.6","3.7","5.1","5","5.1","42.3","42.1","42.4","7.2","7.1","7.2","0","0","0","0.81","0.94"
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3244342","1","1","1","2","1.9","2","0.4","1.01","","","","","","","","",""
" 0-5","187511","0","0","0","2.4","2.3","2.5","0.16","1.04","","","","","","","","",""
" 6-11","408121","4.7","4.6","4.7","9.3","9.2","9.4","0.44","1.06","","","","","","","","",""
" 12-23","688816","0","0","0","0","0","0","0.68","0.97","","","","","","","","",""
" 24-35","549044","2.3","2.3","2.4","2.3","2.3","2.4","0.72","1.18","","","","","","","","",""
" 36-47","425190","0","0","0","1.9","1.9","2","0.1","0.9","","","","","","","","",""
" 48-60","985660","0","0","0","0","0","0","0.19","0.82","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","3148860","0.2","0.2","0.2","5.8","5.8","5.9","-0.11","0.97","","","","","","","","",""
" 0-5","185658","0","0","0","0","0","0","0.22","1.06","","","","","","","","",""
" 6-11","404812","0","0","0","4.7","4.6","4.7","0.1","1.01","","","","","","","","",""
" 12-23","688816","0","0","0","6.5","6.5","6.6","-0.13","1.03","","","","","","","","",""
" 24-35","444197","0","0","0","0","0","0","0.02","0.83","","","","","","","","",""
" 36-47","425190","1.8","1.7","1.8","8.9","8.8","9","-0.29","0.89","","","","","","","","",""
" 48-60","1000187","0","0","0","8.2","8.1","8.2","-0.21","0.94","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","3124571","1","1","1","1","1","1","33.4","33.4","33.5","9.4","9.4","9.4","0.4","0.4","0.4","0.64","0.95"
" 0-5","185658","2.4","2.4","2.5","2.4","2.4","2.5","16.8","16.6","16.9","3.7","3.6","3.8","0","0","0","0.09","1.11"
" 6-11","404812","4.7","4.6","4.8","4.7","4.6","4.8","42.8","42.6","42.9","3.4","3.3","3.5","0","0","0","0.65","1.04"
" 12-23","688816","0","0","0","0","0","0","44.7","44.6","44.9","12.2","12.1","12.3","0","0","0","0.99","0.93"
" 24-35","444197","1.5","1.5","1.5","1.5","1.5","1.5","47.9","47.7","48","29.5","29.4","29.6","1.2","1.1","1.2","0.95","1.12"
" 36-47","425190","0","0","0","0","0","0","17.1","17","17.2","9.4","9.3","9.5","0","0","0","0.41","0.86"
" 48-60","975898","0","0","0","0","0","0","25.2","25.1","25.3","1.9","1.8","1.9","0.8","0.8","0.8","0.46","0.7"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","3124571","1","1","1","1","1","1","33.7","33.6","33.7","9.5","9.5","9.5","0.4","0.4","0.4","0.66","0.96"
" 0-5","185658","2.4","2.4","2.5","2.4","2.4","2.5","16.3","16.2","16.5","6.3","6.2","6.4","0","0","0","0.08","1.12"
" 6-11","404812","4.7","4.6","4.8","4.7","4.6","4.8","30.6","30.5","30.7","3.4","3.3","3.5","0","0","0","0.56","1.1"
