sex	age	l	m	s
1	61	-0.7387	15.2641	0.08390
1	62	-0.7621	15.2616	0.08414
1	63	-0.7856	15.2604	0.08439
1	64	-0.8089	15.2605	0.08464
1	65	-0.8322	15.2619	0.08490
1	66	-0.8554	15.2645	0.08516
1	67	-0.8785	15.2684	0.08543
1	68	-0.9015	15.2737	0.08570
1	69	-0.9243	15.2801	0.08597
1	70	-0.9471	15.2877	0.08625
1	71	-0.9697	15.2965	0.08653
1	72	-0.9921	15.3062	0.08682
1	73	-1.0144	15.3169	0.08711
1	74	-1.0365	15.3285	0.08741
1	75	-1.0584	15.3408	0.08771
1	76	-1.0801	15.3540	0.08802
1	77	-1.1017	15.3679	0.08833
1	78	-1.1230	15.3825	0.08865
1	79	-1.1441	15.3978	0.08898
1	80	-1.1649	15.4137	0.08931
1	81	-1.1856	15.4302	0.08964
1	82	-1.2060	15.4473	0.08998
1	83	-1.2261	15.4650	0.09033
1	84	-1.2460	15.4832	0.09068
1	85	-1.2656	15.5019	0.09103
1	86	-1.2849	15.5210	0.09139
1	87	-1.3040	15.5407	0.09176
1	88	-1.3228	15.5608	0.09213
1	89	-1.3414	15.5814	0.09251
1	90	-1.3596	15.6023	0.09289
1	91	-1.3776	15.6237	0.09327
1	92	-1.3953	15.6455	0.09366
1	93	-1.4126	15.6677	0.09406
1	94	-1.4297	15.6903	0.09445
1	95	-1.4464	15.7133	0.09486
1	96	-1.4629	15.7368	0.09526
1	97	-1.4790	15.7606	0.09567
1	98	-1.4947	15.7848	0.09609
1	99	-1.5101	15.8094	0.09651
1	100	-1.5252	15.8344	0.09693
1	101	-1.5399	15.8597	0.09735
1	102	-1.5542	15.8855	0.09778
1	103	-1.5681	15.9116	0.09821
1	104	-1.5817	15.9381	0.09864
1	105	-1.5948	15.9651	0.09907
1	106	-1.6076	15.9925	0.09951
1	107	-1.6199	16.0205	0.09994
1	108	-1.6318	16.0490	0.10038
1	109	-1.6433	16.0781	0.10082
1	110	-1.6544	16.1078	0.10126
1	111	-1.6651	16.1381	0.10170
1	112	-1.6753	16.1692	0.10214
1	113	-1.6851	16.2009	0.10259
1	114	-1.6944	16.2333	0.10303
1	115	-1.7032	16.2665	0.10347
1	116	-1.7116	16.3004	0.10391
1	117	-1.7196	16.3351	0.10435
1	118	-1.7271	16.3704	0.10478
1	119	-1.7341	16.4065	0.10522
1	120	-1.7407	16.4433	0.10566
1	121	-1.7468	16.4807	0.10609
1	122	-1.7525	16.5189	0.10652
1	123	-1.7578	16.5578	0.10695
1	124	-1.7626	16.5974	0.10738
1	125	-1.7670	16.6376	0.10780
1	126	-1.7710	16.6786	0.10823
1	127	-1.7745	16.7203	0.10865
1	128	-1.7777	16.7628	0.10906
1	129	-1.7804	16.8059	0.10948
1	130	-1.7828	16.8497	0.10989
1	131	-1.7847	16.8941	0.11030
1	132	-1.7862	16.9392	0.11070
1	133	-1.7873	16.9850	0.11110
1	134	-1.7881	17.0314	0.11150
1	135	-1.7884	17.0784	0.11189
1	136	-1.7884	17.1262	0.11228
1	137	-1.7880	17.1746	0.11266
1	138	-1.7873	17.2236	0.11304
1	139	-1.7861	17.2734	0.11342
1	140	-1.7846	17.3240	0.11379
1	141	-1.7828	17.3752	0.11415
1	142	-1.7806	17.4272	0.11451
1	143	-1.7780	17.4799	0.11487
1	144	-1.7751	17.5334	0.11522
1	145	-1.7719	17.5877	0.11556
1	146	-1.7684	17.6427	0.11590
1	147	-1.7645	17.6985	0.11623
1	148	-1.7604	17.7551	0.11656
1	149	-1.7559	17.8124	0.11688
1	150	-1.7511	17.8704	0.11720
1	151	-1.7461	17.9292	0.11751
1	152	-1.7408	17.9887	0.11781
1	153	-1.7352	18.0488	0.11811
1	154	-1.7293	18.1096	0.11841
1	155	-1.7232	18.1710	0.11869
1	156	-1.7168	18.2330	0.11898
1	157	-1.7102	18.2955	0.11925
1	158	-1.7033	18.3586	0.11952
1	159	-1.6962	18.4221	0.11979
1	160	-1.6888	18.4860	0.12005
1	161	-1.6811	18.5502	0.12030
1	162	-1.6732	18.6148	0.12055
1	163	-1.6651	18.6795	0.12079
1	164	-1.6568	18.7445	0.12102
1	165	-1.6482	18.8095	0.12125
1	166	-1.6394	18.8746	0.12148
1	167	-1.6304	18.9398	0.12170
1	168	-1.6211	19.0050	0.12191
1	169	-1.6116	19.0701	0.12212
1	170	-1.6020	19.1351	0.12233
1	171	-1.5921	19.2000	0.12253
1	172	-1.5821	19.2648	0.12272
1	173	-1.5719	19.3294	0.12291
1	174	-1.5615	19.3937	0.12310
1	175	-1.5510	19.4578	0.12328
1	176	-1.5403	19.5217	0.12346
1	177	-1.5294	19.5853	0.12363
1	178	-1.5185	19.6486	0.12380
1	179	-1.5074	19.7117	0.12396
1	180	-1.4961	19.7744	0.12412
1	181	-1.4848	19.8367	0.12428
1	182	-1.4733	19.8987	0.12443
1	183	-1.4617	19.9603	0.12458
1	184	-1.4500	20.0215	0.12473
1	185	-1.4382	20.0823	0.12487
1	186	-1.4263	20.1427	0.12501
1	187	-1.4143	20.2026	0.12514
1	188	-1.4022	20.2621	0.12528
1	189	-1.3900	20.3211	0.12541
1	190	-1.3777	20.3796	0.12554
1	191	-1.3653	20.4376	0.12567
1	192	-1.3529	20.4951	0.12579
