sex	age	l	m	s
1	61	1	110.2647	0.04164
1	62	1	110.8006	0.04172
1	63	1	111.3338	0.04180
1	64	1	111.8636	0.04187
1	65	1	112.3895	0.04195
1	66	1	112.9110	0.04203
1	67	1	113.4280	0.04211
1	68	1	113.9410	0.04218
1	69	1	114.4500	0.04226
1	70	1	114.9547	0.04234
1	71	1	115.4549	0.04241
1	72	1	115.9509	0.04249
1	73	1	116.4432	0.04257
1	74	1	116.9325	0.04264
1	75	1	117.4196	0.04272
1	76	1	117.9046	0.04280
1	77	1	118.3880	0.04287
1	78	1	118.8700	0.04295
1	79	1	119.3508	0.04303
1	80	1	119.8303	0.04311
1	81	1	120.3085	0.04318
1	82	1	120.7853	0.04326
1	83	1	121.2604	0.04334
1	84	1	121.7338	0.04342
1	85	1	122.2053	0.04350
1	86	1	122.6750	0.04358
1	87	1	123.1429	0.04366
1	88	1	123.6092	0.04374
1	89	1	124.0736	0.04382
1	90	1	124.5361	0.04390
1	91	1	124.9964	0.04398
1	92	1	125.4545	0.04406
1	93	1	125.9104	0.04414
1	94	1	126.3640	0.04422
1	95	1	126.8156	0.04430
1	96	1	127.2651	0.04438
1	97	1	127.7129	0.04446
1	98	1	128.1590	0.04454
1	99	1	128.6034	0.04462
1	100	1	129.0466	0.04470
1	101	1	129.4887	0.04478
1	102	1	129.9300	0.04487
1	103	1	130.3705	0.04495
1	104	1	130.8103	0.04503
1	105	1	131.2495	0.04511
1	106	1	131.6884	0.04519
1	107	1	132.1269	0.04527
1	108	1	132.5652	0.04535
1	109	1	133.0031	0.04543
1	110	1	133.4404	0.04551
1	111	1	133.8770	0.04559
1	112	1	134.3130	0.04566
1	113	1	134.7483	0.04574
1	114	1	135.1829	0.04582
1	115	1	135.6168	0.04589
1	116	1	136.0501	0.04597
1	117	1	136.4829	0.04604
1	118	1	136.9153	0.04612
1	119	1	137.3474	0.04619
1	120	1	137.7795	0.04626
1	121	1	138.2119	0.04633
1	122	1	138.6452	0.04640
1	123	1	139.0797	0.04647
1	124	1	139.5158	0.04654
1	125	1	139.9540	0.04661
1	126	1	140.3948	0.04667
1	127	1	140.8387	0.04674
1	128	1	141.2859	0.04680
1	129	1	141.7368	0.04686
1	130	1	142.1916	0.04692
1	131	1	142.6501	0.04698
1	132	1	143.1126	0.04703
1	133	1	143.5795	0.04709
1	134	1	144.0511	0.04714
1	135	1	144.5276	0.04719
1	136	1	145.0093	0.04723
1	137	1	145.4964	0.04728
1	138	1	145.9891	0.04732
1	139	1	146.4878	0.04736
1	140	1	146.9927	0.04740
1	141	1	147.5041	0.04744
1	142	1	148.0224	0.04747
1	143	1	148.5478	0.04750
1	144	1	149.0807	0.04753
1	145	1	149.6212	0.04755
1	146	1	150.1694	0.04758
1	147	1	150.7256	0.04759
1	148	1	151.2899	0.04761
1	149	1	151.8623	0.04762
1	150	1	152.4425	0.04763
1	151	1	153.0298	0.04763
1	152	1	153.6234	0.04764
1	153	1	154.2223	0.04763
1	154	1	154.8258	0.04763
1	155	1	155.4329	0.04762
1	156	1	156.0426	0.04760
1	157	1	156.6539	0.04758
1	158	1	157.2660	0.04756
1	159	1	157.8775	0.04754
1	160	1	158.4871	0.04751
1	161	1	159.0937	0.04747
1	162	1	159.6962	0.04744
1	163	1	160.2939	0.04740
1	164	1	160.8861	0.04735
1	165	1	161.4720	0.04730
1	166	1	162.0505	0.04725
1	167	1	162.6207	0.04720
1	168	1	163.1816	0.04714
1	169	1	163.7321	0.04707
1	170	1	164.2717	0.04701
1	171	1	164.7994	0.04694
1	172	1	165.3145	0.04687
1	173	1	165.8165	0.04679
1	174	1	166.3050	0.04671
1	175	1	166.7799	0.04663
1	176	1	167.2415	0.04655
1	177	1	167.6899	0.04646
1	178	1	168.1255	0.04637
1	179	1	168.5482	0.04628
1	180	1	168.9580	0.04619
1	181	1	169.3549	0.04609
1	182	1	169.7389	0.04599
1	183	1	170.1099	0.04589
1	184	1	170.4680	0.04579
1	185	1	170.8136	0.04569
1	186	1	171.1468	0.04559
1	187	1	171.4680	0.04548
1	188	1	171.7773	0.04538
1	189	1	172.0748	0.04527
1	190	1	172.3606	0.04516
1	191	1	172.6345	0.04506
1	192	1	172.8967	0.04495
1	193	1	173.1470	0.04484
1	194	1	173.3856	0.04473
1	195	1	173.6126	0.04462
1	196	1	173.8280	0.04451
1	197	1	174.0321	0.04440
1	198	1	174.2251	0.04429
1	199	1	174.4071	0.04418
1	200	1	174.5784	0.04407
1	201	1	174.7392	0.04396
1	202	1	174.8896	0.04385
1	203	1	175.0301	0.04375
1	204	1	175.1609	0.04364
1	205	1	175.2824	0.04353
1	206	1	175.3951	0.04343
1	207	1	175.4995	0.04332
1	208	1	175.5959	0.04322
1	209	1	175.6850	0.04311
1	210	1	175.7672	0.04301
1	211	1	175.8432	0.04291
1	212	1	175.9133	0.04281
1	213	1	175.9781	0.04271
1	214	1	176.0380	0.04261
1	215	1	176.0935	0.04251
1	216	1	176.1449	0.04241
1	217	1	176.1925	0.04232
1	218	1	176.2368	0.04222
1	219	1	176.2779	0.04213
1	220	1	176.3162	0.04204
1	221	1	176.3518	0.04195
1	222	1	176.3851	0.04185
1	223	1	176.4162	0.04177
1	224	1	176.4453	0.04168
1	225	1	176.4724	0.04159
1	226	1	176.4976	0.04150
1	227	1	176.5211	0.04142
1	228	1	176.5432	0.04134
1	229	1	176.5432	0.04134
2	61	1	109.6016	0.04355
2	62	1	110.1258	0.04364
2	63	1	110.6451	0.04373
2	64	1	111.1596	0.04382
2	65	1	111.6696	0.04390
2	66	1	112.1753	0.04399
2	67	1	112.6767	0.04407
2	68	1	113.1740	0.04415
2	69	1	113.6672	0.04423
2	70	1	114.1565	0.04431
2	71	1	114.6421	0.04439
2	72	1	115.1244	0.04447
2	73	1	115.6039	0.04454
2	74	1	116.0812	0.04461
2	75	1	116.5568	0.04469
2	76	1	117.0311	0.04475
2	77	1	117.5044	0.04482
2	78	1	117.9769	0.04489
2	79	1	118.4489	0.04495
2	80	1	118.9208	0.04502
2	81	1	119.3926	0.04508
2	82	1	119.8648	0.04514
2	83	1	120.3374	0.04520
2	84	1	120.8105	0.04525
2	85	1	121.2843	0.04531
2	86	1	121.7587	0.04536
2	87	1	122.2338	0.04542
2	88	1	122.7098	0.04547
2	89	1	123.1868	0.04551
2	90	1	123.6646	0.04556
2	91	1	124.1435	0.04561
2	92	1	124.6234	0.04565
2	93	1	125.1045	0.04569
2	94	1	125.5869	0.04573
2	95	1	126.0706	0.04577
2	96	1	126.5558	0.04581
2	97	1	127.0424	0.04585
2	98	1	127.5304	0.04588
2	99	1	128.0199	0.04591
2	100	1	128.5109	0.04594
2	101	1	129.0035	0.04597
2	102	1	129.4975	0.04600
2	103	1	129.9932	0.04602
2	104	1	130.4904	0.04604
2	105	1	130.9891	0.04607
2	106	1	131.4895	0.04608
2	107	1	131.9912	0.04610
2	108	1	132.4944	0.04612
2	109	1	132.9989	0.04613
2	110	1	133.5046	0.04614
2	111	1	134.0118	0.04615
2	112	1	134.5202	0.04616
2	113	1	135.0299	0.04616
2	114	1	135.5410	0.04617
2	115	1	136.0533	0.04617
2	116	1	136.5670	0.04616
2	117	1	137.0821	0.04616
2	118	1	137.5987	0.04616
2	119	1	138.1167	0.04615
2	120	1	138.6363	0.04614
2	121	1	139.1575	0.04612
2	122	1	139.6803	0.04611
2	123	1	140.2049	0.04609
2	124	1	140.7313	0.04607
2	125	1	141.2594	0.04605
2	126	1	141.7892	0.04603
2	127	1	142.3206	0.04600
2	128	1	142.8534	0.04597
2	129	1	143.3874	0.04594
2	130	1	143.9222	0.04591
2	131	1	144.4575	0.04588
2	132	1	144.9929	0.04584
2	133	1	145.5280	0.04580
2	134	1	146.0622	0.04576
2	135	1	146.5951	0.04571
2	136	1	147.1262	0.04567
2	137	1	147.6548	0.04562
2	138	1	148.1804	0.04557
2	139	1	148.7023	0.04552
2	140	1	149.2197	0.04546
2	141	1	149.7322	0.04541
2	142	1	150.2390	0.04535
2	143	1	150.7394	0.04529
2	144	1	151.2327	0.04523
2	145	1	151.7182	0.04516
2	146	1	152.1951	0.04510
2	147	1	152.6628	0.04503
2	148	1	153.1206	0.04497
2	149	1	153.5678	0.04490
2	150	1	154.0041	0.04483
2	151	1	154.4290	0.04476
2	152	1	154.8423	0.04468
2	153	1	155.2437	0.04461
2	154	1	155.6330	0.04454
2	155	1	156.0101	0.04446
2	156	1	156.3748	0.04439
2	157	1	156.7269	0.04431
2	158	1	157.0666	0.04423
2	159	1	157.3936	0.04415
2	160	1	157.7082	0.04408
2	161	1	158.0102	0.04400
2	162	1	158.2997	0.04392
2	163	1	158.5771	0.04384
2	164	1	158.8425	0.04376
2	165	1	159.0961	0.04369
2	166	1	159.3382	0.04361
2	167	1	159.5691	0.04353
2	168	1	159.7890	0.04345
2	169	1	159.9983	0.04337
2	170	1	160.1971	0.04330
2	171	1	160.3857	0.04322
2	172	1	160.5643	0.04314
2	173	1	160.7332	0.04307
2	174	1	160.8927	0.04299
2	175	1	161.0430	0.04292
2	176	1	161.1845	0.04284
2	177	1	161.3176	0.04277
2	178	1	161.4425	0.04270
2	179	1	161.5596	0.04263
2	180	1	161.6692	0.04255
2	181	1	161.7717	0.04248
2	182	1	161.8673	0.04241
2	183	1	161.9564	0.04235
2	184	1	162.0393	0.04228
2	185	1	162.1164	0.04221
2	186	1	162.1880	0.04214
2	187	1	162.2542	0.04208
2	188	1	162.3154	0.04201
2	189	1	162.3719	0.04195
2	190	1	162.4239	0.04189
2	191	1	162.4717	0.04182
2	192	1	162.5156	0.04176
2	193	1	162.5560	0.04170
2	194	1	162.5933	0.04164
2	195	1	162.6276	0.04158
2	196	1	162.6594	0.04152
2	197	1	162.6890	0.04147
2	198	1	162.7165	0.04141
2	199	1	162.7425	0.04136
2	200	1	162.7670	0.04130
2	201	1	162.7904	0.04125
2	202	1	162.8126	0.04119
2	203	1	162.8340	0.04114
2	204	1	162.8545	0.04109
2	205	1	162.8743	0.04104
2	206	1	162.8935	0.04099
2	207	1	162.9120	0.04094
2	208	1	162.9300	0.04089
2	209	1	162.9476	0.04084
2	210	1	162.9649	0.04080
2	211	1	162.9817	0.04075
2	212	1	162.9983	0.04071
2	213	1	163.0144	0.04066
2	214	1	163.0300	0.04062
2	215	1	163.0451	0.04058
2	216	1	163.0595	0.04053
2	217	1	163.0733	0.04049
2	218	1	163.0862	0.04045
2	219	1	163.0982	0.04041
2	220	1	163.1092	0.04037
2	221	1	163.1192	0.04034
2	222	1	163.1279	0.04030
2	223	1	163.1355	0.04026
2	224	1	163.1418	0.04023
2	225	1	163.1469	0.04019
2	226	1	163.1508	0.04016
2	227	1	163.1534	0.04012
2	228	1	163.1548	0.04009
2	229	1	163.1548	0.04009
