sex	age	l	m	s
1	61	-0.2026	18.5057	0.12988
1	62	-0.2130	18.6802	0.13028
1	63	-0.2234	18.8563	0.13067
1	64	-0.2338	19.0340	0.13105
1	65	-0.2443	19.2132	0.13142
1	66	-0.2548	19.3940	0.13178
1	67	-0.2653	19.5765	0.13213
1	68	-0.2758	19.7607	0.13246
1	69	-0.2864	19.9468	0.13279
1	70	-0.2969	20.1344	0.13311
1	71	-0.3075	20.3235	0.13342
1	72	-0.3180	20.5137	0.13372
1	73	-0.3285	20.7052	0.13402
1	74	-0.3390	20.8979	0.13432
1	75	-0.3494	21.0918	0.13462
1	76	-0.3598	21.2870	0.13493
1	77	-0.3701	21.4833	0.13523
1	78	-0.3804	21.6810	0.13554
1	79	-0.3906	21.8799	0.13586
1	80	-0.4007	22.0800	0.13618
1	81	-0.4107	22.2813	0.13652
1	82	-0.4207	22.4837	0.13686
1	83	-0.4305	22.6872	0.13722
1	84	-0.4402	22.8915	0.13759
1	85	-0.4499	23.0968	0.13797
1	86	-0.4594	23.3029	0.13838
1	87	-0.4688	23.5101	0.13880
1	88	-0.4781	23.7182	0.13923
1	89	-0.4873	23.9272	0.13969
1	90	-0.4964	24.1371	0.14016
1	91	-0.5053	24.3479	0.14065
1	92	-0.5142	24.5595	0.14117
1	93	-0.5229	24.7722	0.14170
1	94	-0.5315	24.9858	0.14226
1	95	-0.5399	25.2005	0.14284
1	96	-0.5482	25.4163	0.14344
1	97	-0.5564	25.6332	0.14407
1	98	-0.5644	25.8513	0.14472
1	99	-0.5722	26.0706	0.14539
1	100	-0.5799	26.2911	0.14608
1	101	-0.5873	26.5128	0.14679
1	102	-0.5946	26.7358	0.14752
1	103	-0.6017	26.9602	0.14828
1	104	-0.6085	27.1861	0.14905
1	105	-0.6152	27.4137	0.14984
1	106	-0.6216	27.6432	0.15066
1	107	-0.6278	27.8750	0.15149
1	108	-0.6337	28.1092	0.15233
1	109	-0.6393	28.3459	0.15319
1	110	-0.6446	28.5854	0.15406
1	111	-0.6496	28.8277	0.15493
1	112	-0.6543	29.0731	0.15581
1	113	-0.6585	29.3217	0.15670
1	114	-0.6624	29.5736	0.15760
1	115	-0.6659	29.8289	0.15850
1	116	-0.6689	30.0877	0.15940
1	117	-0.6714	30.3501	0.16031
1	118	-0.6735	30.6160	0.16122
1	119	-0.6752	30.8854	0.16213
1	120	-0.6764	31.1586	0.16305
1	121	-0.6764	31.1586	0.16305
2	61	-0.4681	18.2579	0.14295
2	62	-0.4711	18.4329	0.14350
2	63	-0.4742	18.6073	0.14404
2	64	-0.4773	18.7811	0.14459
2	65	-0.4803	18.9545	0.14514
2	66	-0.4834	19.1276	0.14569
2	67	-0.4864	19.3004	0.14624
2	68	-0.4894	19.4730	0.14679
2	69	-0.4924	19.6455	0.14735
2	70	-0.4954	19.8180	0.14790
2	71	-0.4984	19.9908	0.14845
2	72	-0.5013	20.1639	0.14900
2	73	-0.5043	20.3377	0.14955
2	74	-0.5072	20.5124	0.15010
2	75	-0.5100	20.6885	0.15065
2	76	-0.5129	20.8661	0.15120
2	77	-0.5157	21.0457	0.15175
2	78	-0.5185	21.2274	0.15230
2	79	-0.5213	21.4113	0.15284
2	80	-0.5240	21.5979	0.15339
2	81	-0.5268	21.7872	0.15393
2	82	-0.5294	21.9795	0.15448
2	83	-0.5321	22.1751	0.15502
2	84	-0.5347	22.3740	0.15556
2	85	-0.5372	22.5762	0.15610
2	86	-0.5398	22.7816	0.15663
2	87	-0.5423	22.9904	0.15717
2	88	-0.5447	23.2025	0.15770
2	89	-0.5471	23.4180	0.15823
2	90	-0.5495	23.6369	0.15876
2	91	-0.5518	23.8593	0.15928
2	92	-0.5541	24.0853	0.15980
2	93	-0.5563	24.3149	0.16032
2	94	-0.5585	24.5482	0.16084
2	95	-0.5606	24.7853	0.16135
2	96	-0.5627	25.0262	0.16186
2	97	-0.5647	25.2710	0.16237
2	98	-0.5667	25.5197	0.16287
2	99	-0.5686	25.7721	0.16337
2	100	-0.5704	26.0284	0.16386
2	101	-0.5722	26.2883	0.16435
2	102	-0.5740	26.5519	0.16483
2	103	-0.5757	26.8190	0.16532
2	104	-0.5773	27.0896	0.16579
2	105	-0.5789	27.3635	0.16626
2	106	-0.5804	27.6406	0.16673
2	107	-0.5819	27.9208	0.16719
2	108	-0.5833	28.2040	0.16764
2	109	-0.5847	28.4901	0.16809
2	110	-0.5859	28.7791	0.16854
2	111	-0.5872	29.0711	0.16897
2	112	-0.5883	29.3663	0.16941
2	113	-0.5895	29.6646	0.16983
2	114	-0.5905	29.9663	0.17025
2	115	-0.5915	30.2715	0.17066
2	116	-0.5925	30.5805	0.17107
2	117	-0.5934	30.8934	0.17146
2	118	-0.5942	31.2105	0.17186
2	119	-0.5950	31.5319	0.17224
2	120	-0.5958	31.8578	0.17262
2	121	-0.5958	31.8578	0.17262
