bmi Age (Month)* 	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22SD	 21SD	 Median  	+1SD  	+2SD  	female_L  	female_M  	female_S  	22SD 	21SD 	Median  	+1SD 	 +2SD 
0  	-0.03 	13.07  	0.0837  	11.06 	 12.02  	13.07  	14.21  	15.45  	-0.44 	13.00  	0.0878  	10.98  	11.93  	13.00  	14.22  	15.61 
1  	0.72  	14.91  	0.0861  	12.41 	 13.64  	14.91  	16.21  	17.54  	-0.31 	14.52  	0.0844  	12.31  	13.36  	14.52  	15.81  	17.26 
2  	0.47  	16.48  	0.0860  	13.77 	 15.10  	16.48  	17.93  	19.44  	-0.34 	15.84  	0.0848  	13.43  	14.57  	15.84  	17.27  	18.87 
3  	0.25  	17.48  	0.0866  	14.64 	 16.02  	17.48  	19.04  	20.71  	-0.37 	16.69  	0.0850  	14.16  	15.35  	16.69  	18.20  	19.90 
4  	0.07  	17.87  	0.0874  	14.99 	 16.37  	17.87  	19.50  	21.27  	-0.40 	17.14  	0.0848  	14.55  	15.77  	17.14  	18.69  	20.43 
5  	-0.08 	17.97  	0.0878  	15.10 	 16.47  	17.97  	19.63  	21.45  	-0.43 	17.35  	0.0843  	14.74  	15.97  	17.35  	18.90  	20.66 
6  	-0.19 	17.96  	0.0875  	15.12 	 16.47  	17.96  	19.62  	21.47  	-0.45 	17.41  	0.0835  	14.82  	16.04  	17.41  	18.96  	20.71 
8  	-0.36 	17.76  	0.0856  	15.04 	 16.32  	17.76  	19.37  	21.19  	-0.50 	17.31  	0.0818  	14.79  	15.98  	17.31  	18.82  	20.53 
10  	-0.47 	17.48  	0.0833  	14.89 	 16.11  	17.48  	19.03  	20.79  	-0.54 	17.05  	0.0802  	14.62  	15.77  	17.05  	18.51  	20.17 
12  	-0.54 	17.19  	0.0814  	14.71 	 15.87  	17.19  	18.68  	20.38  	-0.57 	16.74  	0.0790  	14.39  	15.50  	16.74  	18.15  	19.76 
15  	-0.60 	16.78  	0.0797  	14.41 	 15.52  	16.78  	18.20  	19.83  	-0.62 	16.32  	0.0779  	14.06  	15.12  	16.32  	17.67  	19.22 
18  	-0.64 	16.47  	0.0787  	14.18 	 15.26  	16.47  	17.86  	19.45  	-0.66 	16.03  	0.0775  	13.83  	14.86  	16.03  	17.36  	18.88 
21  	-0.68 	16.26  	0.0779  	14.03 	 15.08  	16.26  	17.62  	19.18  	-0.70 	15.84  	0.0773  	13.68  	14.69  	15.84  	17.15  	18.66 
24  	-0.73 	16.07  	0.0770  	13.88 	 14.91  	16.07  	17.39  	18.92  	-0.73 	15.67  	0.0772  	13.54  	14.54  	15.67  	16.97  	18.46 
30  	-0.85 	15.73  	0.0754  	13.64 	 14.62  	15.73  	17.00  	18.48  	-0.79 	15.40  	0.0769  	13.32  	14.30  	15.40  	16.68  	18.15 
36  	-0.97 	15.43  	0.0746  	13.43 	 14.36  	15.43  	16.68  	18.14  	-0.84 	15.25  	0.0771  	13.19  	14.15  	15.25  	16.52  	17.99 
36  	-1.02 	15.66  	0.0745  	13.63 	 14.57  	15.66  	16.92  	18.41  	-0.95 	15.42  	0.0773  	13.35  	14.31  	15.42  	16.70  	18.22 
42  	-1.09 	15.45  	0.0752  	13.44 	 14.37  	15.45  	16.71  	18.21  	-0.98 	15.27  	0.0782  	13.20  	14.16  	15.27  	16.56  	18.10 
