headcircum cm Age (Month)*	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22 SD	 21 SD 	Median  	+1 SD  	+2 SD  	female_L  	female_M  	female_S  	22 SD 	21 SD	 Median  	+1 SD  	+2 SD 
0  	1.39  	34.5  	0.0338  	32.1  	33.3  	34.5  	35.7  	36.8  	1.31  	34.0  	0.0347  	31.6  	32.8  	34.0  	35.2  	36.4 
1  	0.81  	36.9  	0.0334  	34.5  	35.7  	36.9  	38.2  	39.4  	0.83  	36.2  	0.0334  	33.8  	35.0  	36.2  	37.4  	38.6 
2  	0.31  	38.9  	0.0328  	36.4  	37.6  	38.9  	40.2  	41.5  	0.37  	38.0  	0.0323  	35.6  	36.8  	38.0  	39.3  	40.5 
3  	-0.04 	40.5  	0.0322  	37.9  	39.2  	40.5  	41.8  	43.2  	-0.03 	39.5  	0.0313  	37.1  	38.3  	39.5  	40.8  	42.1 
4  	-0.21 	41.7  	0.0315  	39.2  	40.4  	41.7  	43.1  	44.5  	-0.33 	40.7  	0.0306  	38.3  	39.5  	40.7  	41.9  	43.3 
5  	-0.25 	42.7  	0.0308  	40.2  	41.5  	42.7  	44.1  	45.5  	-0.51 	41.6  	0.0300  	39.2  	40.4  	41.6  	42.9  	44.3 
6  	-0.22 	43.6  	0.0303  	41.0  	42.3  	43.6  	44.9  	46.3  	-0.62 	42.4  	0.0296  	40.0  	41.2  	42.4  	43.7  	45.1 
8  	-0.10 	44.8  	0.0295  	42.2  	43.5  	44.8  	46.1  	47.5  	-0.68 	43.6  	0.0291  	41.2  	42.4  	43.6  	44.9  	46.3 
10  	0.02  	45.7  	0.0289  	43.1  	44.4  	45.7  	47.0  	48.4  	-0.66 	44.5  	0.0287  	42.1  	43.3  	44.5  	45.8  	47.2 
12  	0.10  	46.4  	0.0284  	43.8  	45.1  	46.4  	47.7  	49.1  	-0.62 	45.1  	0.0285  	42.7  	43.9  	45.1  	46.5  	47.8 
15  	0.18  	47.0  	0.0280  	44.5  	45.7  	47.0  	48.4  	49.7  	-0.55 	45.8  	0.0281  	43.4  	44.6  	45.8  	47.2  	48.5 
18  	0.24  	47.6  	0.0276  	45.0  	46.3  	47.6  	48.9  	50.2  	-0.47 	46.4  	0.0279  	43.9  	45.1  	46.4  	47.7  	49.1 
21  	0.28  	48.0  	0.0273  	45.5  	46.7  	48.0  	49.4  	50.7  	-0.40 	46.9  	0.0276  	44.4  	45.6  	46.9  	48.2  	49.6 
24  	0.32  	48.4  	0.0270  	45.9  	47.1  	48.4  	49.8  	51.1  	-0.33 	47.3  	0.0273  	44.8  	46.0  	47.3  	48.6  	50.0 
30  	0.37  	49.1  	0.0266  	46.5  	47.8  	49.1  	50.4  	51.7  	-0.21 	48.0  	0.0269  	45.5  	46.7  	48.0  	49.3  	50.7 
36  	0.40  	49.6  	0.0262  	47.0  	48.3  	49.6  	50.9  	52.2  	-0.09 	48.5  	0.0265  	46.0  	47.3  	48.5  	49.8  	51.2 
42  	0.42  	49.9  	0.0259  	47.4  	48.7  	49.9  	51.3  	52.6  	0.00  	49.0  	0.0262  	46.5  	47.7  	49.0  	50.3  	51.6 
48  	0.44  	50.3  	0.0256  	47.8  	49.0  	50.3  	51.6  	52.9  	0.08  	49.4  	0.0259  	46.9  	48.1  	49.4  	50.6  	52.0 
54  	0.46  	50.6  	0.0254  	48.1  	49.4  	50.6  	51.9  	53.2  	0.16  	49.7  	0.0256  	47.2  	48.4  	49.7  	51.0  	52.3 
60  	0.47  	51.0  	0.0252  	48.4  	49.7  	51.0  	52.2  	53.6  	0.23  	50.0  	0.0254  	47.5  	48.7  	50.0  	51.3  	52.6 
66  	0.48  	51.3  	0.0249  	48.7  	50.0  	51.3  	52.5  	53.8  	0.29  	50.3  	0.0252  	47.8  	49.0  	50.3  	51.5  	52.8 
72  	0.49  	51.5  	0.0248  	49.0  	50.2  	51.5  	52.8  	54.1  	0.35  	50.5  	0.0251  	48.0  	49.2  	50.5  	51.8  	53.1 
