height cm Age (Month)*	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22SD 	21SD 	Median  	+1SD  	+2SD  	female_L  	female_M  	female_S  	22SD	 21SD 	Median  	+1SD  	+2SD 
0  	0.61  	50.4  	0.0352  	46.9  	48.6  	50.4  	52.2  	54.0  	0.45  	49.7  	0.0344  	46.4  	48.0  	49.7  	51.4  	53.2 
1  	0.59  	54.8  	0.0379  	50.7  	52.7  	54.8  	56.9  	59.0  	0.43  	53.7  	0.0371  	49.8  	51.7  	53.7  	55.7  	57.8 
2  	0.57  	58.7  	0.0383  	54.3  	56.5  	58.7  	61.0  	63.3  	0.40  	57.4  	0.0378  	53.2  	55.3  	57.4  	59.6  	61.8 
3  	0.55  	62.0  	0.0369  	57.5  	59.7  	62.0  	64.3  	66.6  	0.38  	60.6  	0.0365  	56.3  	58.4  	60.6  	62.8  	65.1 
4  	0.54  	64.6  	0.0357  	60.1  	62.3  	64.6  	66.9  	69.3  	0.36  	63.1  	0.0350  	58.8  	61.0  	63.1  	65.4  	67.7 
5  	0.53  	66.7  	0.0352  	62.1  	64.4  	66.7  	69.1  	71.5  	0.35  	65.2  	0.0345  	60.8  	62.9  	65.2  	67.4  	69.8 
6  	0.52  	68.4  	0.0351  	63.7  	66.0  	68.4  	70.8  	73.3  	0.33  	66.8  	0.0346  	62.3  	64.5  	66.8  	69.1  	71.5 
8  	0.50  	71.2  	0.0352  	66.3  	68.7  	71.2  	73.7  	76.3  	0.32  	69.6  	0.0353  	64.8  	67.2  	69.6  	72.1  	74.7 
10  	0.49  	74.0  	0.0353  	68.9  	71.4  	74.0  	76.6  	79.3  	0.30  	72.4  	0.0358  	67.3  	69.8  	72.4  	75.0  	77.7 
12  	0.48  	76.5  	0.0358  	71.2  	73.8  	76.5  	79.3  	82.1  	0.29  	75.0  	0.0360  	69.7  	72.3  	75.0  	77.7  	80.5 
15  	0.47  	79.8  	0.0368  	74.0  	76.9  	79.8  	82.8  	85.8  	0.28  	78.5  	0.0364  	72.9  	75.6  	78.5  	81.4  	84.3 
18  	0.47  	82.7  	0.0378  	76.6  	79.6  	82.7  	85.8  	89.1  	0.28  	81.5  	0.0371  	75.6  	78.5  	81.5  	84.6  	87.7 
21  	0.46  	85.6  	0.0389  	79.1  	82.3  	85.6  	89.0  	92.4  	0.28  	84.4  	0.0383  	78.1  	81.2  	84.4  	87.7  	91.1 
24  	0.46  	88.5  	0.0398  	81.6  	85.1  	88.5  	92.1  	95.8  	0.28  	87.2  	0.0396  	80.5  	83.8  	87.2  	90.7  	94.3 
30  	0.45  	93.3  	0.0403  	85.9  	89.6  	93.3  	97.1  	101.0  	0.29  	92.1  	0.0406  	84.8  	88.4  	92.1  	95.9  	99.8 
36  	0.45  	97.5  	0.0394  	90.0  	93.7  	97.5  	101.4  	105.3  	0.31  	96.3  	0.0394  	88.9  	92.5  	96.3  	100.1  	104.1 
36  	0.45  	96.8  	0.0397  	89.3  	93.0  	96.8  	100.7  	104.6  	0.31  	95.6  	0.0397  	88.2  	91.8  	95.6  	99.4  	103.4 
42  	0.46  	100.6  	0.0388  	93.0  	96.7  	100.6  	104.5  	108.6  	0.33  	99.4  	0.0385  	91.9  	95.6  	99.4  	103.3  	107.2 
48  	0.46  	104.1  	0.0385  	96.3  	100.2  	104.1  	108.2  	112.3  	0.36  	103.1  	0.0382  	95.4  	99.2  	103.1  	107.0  	111.1 
54  	0.47  	107.7  	0.0387  	99.5  	103.6  	107.7  	111.9  	116.2  	0.39  	106.7  	0.0386  	98.7  	102.7  	106.7  	110.9  	115.2 
60  	0.47  	111.3  	0.0390  	102.8  	107.0  	111.3  	115.7  	120.1  	0.42  	110.2  	0.0387  	101.8  	106.0  	110.2  	114.5  	118.9 
66  	0.49  	114.7  	0.0391  	105.9  	110.2  	114.7  	119.2  	123.8  	0.45  	113.5  	0.0389  	104.9  	109.2  	113.5  	118.0  	122.6 
72  	0.50  	117.7  	0.0396  	108.6  	113.1  	117.7  	122.4  	127.2  	0.48  	116.6  	0.0394  	107.6  	112.0  	116.6  	121.2  	126.0 
78  	0.51  	120.7  	0.0402  	111.1  	115.8  	120.7  	125.6  	130.5  	0.52  	119.4  	0.0400  	110.1  	114.7  	119.4  	124.3  	129.2 
84  	0.53  	124.0  	0.0409  	114.0  	119.0  	124.0  	129.1  	134.3  	0.55  	122.5  	0.0407  	112.7  	117.6  	122.5  	127.6  	132.7 
90  	0.55  	127.1  	0.0414  	116.8  	121.9  	127.1  	132.4  	137.8  	0.59  	125.6  	0.0413  	115.4  	120.4  	125.6  	130.8  	136.1 
96  	0.57  	130.0  	0.0420  	119.3  	124.6  	130.0  	135.5  	141.1  	0.63  	128.5  	0.0418  	117.9  	123.1  	128.5  	133.9  	139.4 
102  	0.59  	132.7  	0.0426  	121.6  	127.1  	132.7  	138.4  	144.2  	0.67  	131.3  	0.0424  	120.3  	125.8  	131.3  	136.9  	142.6 
108  	0.62  	135.4  	0.0431  	123.9  	129.6  	135.4  	141.2  	147.2  	0.71  	134.1  	0.0432  	122.6  	128.3  	134.1  	139.9  	145.8 
114  	0.64  	137.9  	0.0437  	126.0  	131.9  	137.9  	144.0  	150.1  	0.76  	137.0  	0.0442  	125.0  	131.0  	137.0  	143.1  	149.2 
120  	0.67  	140.2  	0.0442  	127.9  	134.0  	140.2  	146.4  	152.7  	0.81  	140.1  	0.0450  	127.6  	133.8  	140.1  	146.4  	152.8 
126  	0.70  	142.6  	0.0450  	130.0  	136.3  	142.6  	149.1  	155.7  	0.86  	143.3  	0.0454  	130.3  	136.8  	143.3  	149.8  	156.3 
132  	0.73  	145.3  	0.0460  	132.1  	138.7  	145.3  	152.1  	158.9  	0.91  	146.6  	0.0452  	133.4  	140.0  	146.6  	153.3  	160.0 
138  	0.78  	148.4  	0.0473  	134.5  	141.4  	148.4  	155.4  	162.6  	0.96  	149.7  	0.0442  	136.5  	143.1  	149.7  	156.3  	162.9 
144  	0.83  	151.9  	0.0488  	137.2  	144.6  	151.9  	159.4  	166.9  	1.00  	152.4  	0.0424  	139.5  	145.9  	152.4  	158.8  	165.3 
150  	0.88  	155.6  	0.0496  	140.2  	147.9  	155.6  	163.3  	171.1  	1.03  	154.6  	0.0403  	142.1  	148.4  	154.6  	160.8  	167.1 
156  	0.94  	159.5  	0.0487  	144.0  	151.8  	159.5  	167.3  	175.1  	1.06  	156.3  	0.0385  	144.2  	150.3  	156.3  	162.3  	168.3 
162  	0.99  	163.0  	0.0464  	147.9  	155.4  	163.0  	170.5  	178.1  	1.08  	157.6  	0.0369  	146.0  	151.8  	157.6  	163.4  	169.2 
