weight kg Age (Month)* 	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22 SD	 21 SD 	Median  	+1 SD  	+2 SD 	female_L  	female_M  	female_S  	22 SD 	21 SD	 Median  	+1 SD  	+2 SD 
0  	0.35  	3.32  	0.1202  	2.58  	2.93  	3.32  	3.73  	4.18  	-0.14 	3.21  	0.1203  	2.54  	2.85  	3.21  	3.63  	4.10 
1  	0.29  	4.51  	0.1190  	3.52  	3.99  	4.51  	5.07  	5.67  	-0.15 	4.20  	0.1182  	3.33  	3.74  	4.20  	4.74  	5.35 
2  	0.24  	5.68  	0.1172  	4.47  	5.05  	5.68  	6.38  	7.14  	-0.17 	5.21  	0.1160  	4.15  	4.65  	5.21  	5.86  	6.60 
3  	0.19  	6.70  	0.1154  	5.29  	5.97  	6.70  	7.51  	8.40  	-0.18 	6.13  	0.1138  	4.90  	5.47  	6.13  	6.87  	7.73 
4  	0.15  	7.45  	0.1139  	5.91  	6.64  	7.45  	8.34  	9.32  	-0.18 	6.83  	0.1121  	5.48  	6.11  	6.83  	7.65  	8.59 
5  	0.12  	8.00  	0.1129  	6.36  	7.14  	8.00  	8.95  	9.99  	-0.19 	7.36  	0.1109  	5.92  	6.59  	7.36  	8.23  	9.23 
6  	0.09  	8.41  	0.1123  	6.70  	7.51  	8.41  	9.41  	10.50  	-0.20 	7.77  	0.1101  	6.26  	6.96  	7.77  	8.68  	9.73 
8  	0.06  	9.05  	0.1114  	7.23  	8.09  	9.05  	10.11  	11.29  	-0.20 	8.41  	0.1091  	6.79  	7.55  	8.41  	9.39  	10.51 
10  	0.03  	9.58  	0.1109  	7.67  	8.58  	9.58  	10.71  	11.95  	-0.21	 8.94  	0.1084  	7.23  	8.03  	8.94  	9.98  	11.16 
12  	0.01  	10.05  	0.1106  	8.06  	9.00  	10.05  	11.23  	12.54  	-0.22 	9.40  	0.1080  	7.61  	8.45  	9.40  	10.48  	11.73 
15  	-0.01 	10.68  	0.1103  	8.57  	9.57  	10.68  	11.93  	13.32  	-0.22 	10.02  	0.1078  	8.12  	9.01  	10.02  	11.18  	12.50 
18  	-0.04 	11.29  	0.1101  	9.07  	10.12  	11.29  	12.61  	14.09  	-0.23 	10.65  	0.1079  	8.63  	9.57  	10.65  	11.88  	13.29 
21  	-0.07 	11.93  	0.1101  	9.59  	10.69  	11.93  	13.33  	14.90  	-0.24 	11.30  	0.1084  	9.15  	10.15  	11.30  	12.61  	14.12 
24  	-0.09 	12.54  	0.1101  	10.09  	11.24  	12.54  	14.01  	15.67  	-0.24 	11.92  	0.1092  	9.64  	10.70  	11.92  	13.31  	14.92 
30  	-0.13 	13.64  	0.1104  	10.97  	12.22  	13.64  	15.24  	17.06  	-0.26 	13.05  	0.1108  	10.52  	11.70  	13.05  	14.60  	16.39 
36  	-0.17 	14.65  	0.1108  	11.79  	13.13  	14.65  	16.39  	18.37  	-0.27 	14.13  	0.1123  	11.36  	12.65  	14.13  	15.83  	17.81 
42  	-0.21 	15.63  	0.1117  	12.57  	14.00  	15.63  	17.50  	19.65  	-0.28 	15.16  	0.1136  	12.16  	13.55  	15.16  	17.01  	19.17 
48  	-0.25 	16.64  	0.1133  	13.35  	14.88  	16.64  	18.67  	21.01  	-0.29 	16.17  	0.1155  	12.93  	14.44  	16.17  	18.19  	20.54 
54  	-0.29 	17.75  	0.1160  	14.18  	15.84  	17.75  	19.98  	22.57  	-0.30 	17.22  	0.1181  	13.71  	15.33  	17.22  	19.42  	22.00 
60  	-0.33 	18.98  	0.1201  	15.06  	16.87  	18.98  	21.46  	24.38  	-0.31 	18.26  	0.1215  	14.44  	16.20  	18.26  	20.66  	23.50 
66  	-0.36 	20.18  	0.1253  	15.87  	17.85  	20.18  	22.94  	26.24  	-0.32 	19.33  	0.1257  	15.18  	17.09  	19.33  	21.98  	25.12 
72  	-0.39 	21.26  	0.1311  	16.56  	18.71  	21.26  	24.32  	28.03  	-0.33 	20.37  	0.1301  	15.87  	17.94  	20.37  	23.27  	26.74 
78  	-0.41 	22.45  	0.1385  	17.27  	19.62  	22.45  	25.89  	30.13  	-0.34 	21.44  	0.1351  	16.55  	18.78  	21.44  	24.61  	28.46 
84  	-0.44 	24.06  	0.1486  	18.20  	20.83  	24.06  	28.05  	33.08  	-0.35 	22.64  	0.1408  	17.31  	19.74  	22.64  	26.16  	30.45 
90  	-0.45 	25.72  	0.1589  	19.11  	22.06  	25.72  	30.33  	36.24  	-0.36 	23.93  	0.1469  	18.10  	20.74  	23.93  	27.83  	32.64 
96  	-0.45 	27.33  	0.1687  	19.97  	23.23  	27.33  	32.57  	39.41  	-0.36 	25.25  	0.1532  	18.88  	21.75  	25.25  	29.56  	34.94 
102  	-0.45 	28.91  	0.1774  	20.79  	24.37  	28.91  	34.78  	42.54  	-0.37 	26.67  	0.1600  	19.71  	22.83  	26.67  	31.45  	37.49 
108  	-0.43 	30.46  	0.1846  	21.62  	25.50  	30.46  	36.92  	45.52  	-0.38 	28.19  	0.1675  	20.56  	23.96  	28.19  	33.51  	40.32 
114  	-0.40 	32.09  	0.1906  	22.50  	26.70  	32.09  	39.12  	48.51  	-0.38 	29.87  	0.1755  	21.49  	25.21  	29.87  	35.82  	43.54 
120  	-0.36 	33.74  	0.1953  	23.40  	27.93  	33.74  	41.31  	51.38  	-0.39 	31.76  	0.1833  	22.54  	26.60  	31.76  	38.41  	47.15 
126  	-0.30 	35.58  	0.1990  	24.43  	29.33  	35.58  	43.69  	54.37  	-0.39 	33.80  	0.1893  	23.74  	28.16  	33.80  	41.15  	50.92 
132  	-0.24 	37.69  	0.2016  	25.64  	30.95  	37.69  	46.33  	57.58  	-0.39 	36.10  	0.1923  	25.23  	29.99  	36.10  	44.09  	54.78 
138  	-0.17 	39.98  	0.2036  	26.96  	32.73  	39.98  	49.19  	60.96  	-0.40 	38.40  	0.1916  	26.89  	31.93  	38.40  	46.87  	58.21 
144  	-0.10 	42.49  	0.2056  	28.41  	34.67  	42.49  	52.31  	64.68  	-0.41 	40.77  	0.1873  	28.77  	34.04  	40.77  	49.54  	61.22 
150  	-0.06 	45.13  	0.2063  	30.01  	36.76  	45.13  	55.54  	68.51  	-0.42 	42.89  	0.1805  	30.64  	36.04  	42.89  	51.75  	63.44 
156  	-0.04 	48.08  	0.2045  	32.04  	39.22  	48.08  	59.04  	72.60  	-0.43 	44.79  	0.1720  	32.50  	37.94  	44.79  	53.55  	64.99 
162  	-0.05 	50.85  	0.1999  	34.22  	41.67  	50.85  	62.16  	76.16  	-0.44 	46.42  	0.1631  	34.23  	39.66  	46.42  	54.99  	66.03 
168  	-0.10 	53.37  	0.1928  	36.54  	44.08  	53.37  	64.84  	79.07  	-0.45 	47.83  	0.1548  	35.80  	41.18  	47.83  	56.16  	66.77 
174  	-0.16 	55.43  	0.1847  	38.71  	46.20  	55.43  	66.86  	81.11  	-0.46 	48.97  	0.1477  	37.13  	42.45  	48.97  	57.06  	67.28 
180  	-0.22 	57.08  	0.1766  	40.63  	48.00  	57.08  	68.35  	82.45  	-0.47 	49.82  	0.1422  	38.16  	43.42  	49.82  	57.72  	67.61 
186  	-0.28 	58.39  	0.1692  	42.26  	49.49  	58.39  	69.44  	83.32  	-0.48 	50.45  	0.1379  	38.94  	44.15  	50.45  	58.19  	67.82 
192  	-0.33 	59.35  	0.1634  	43.51  	50.62  	59.35  	70.20  	83.85  	-0.48 	50.81  	0.1355  	39.39  	44.56  	50.81  	58.45  	67.93 
198  	-0.36 	60.12  	0.1586  	44.54  	51.53  	60.12  	70.79  	84.21  	-0.48 	51.07  	0.1337  	39.72  	44.87  	51.07  	58.64  	68.00 
204  	-0.39 	60.68  	0.1550  	45.28  	52.20  	60.68  	71.20  	84.45  	-0.49 	51.20  	0.1328  	39.88  	45.01  	51.20  	58.73  	68.04 
210  	-0.41 	61.10  	0.1523  	45.86  	52.71  	61.10  	71.51  	84.61  	-0.49 	51.31  	0.1320  	40.02  	45.14  	51.31  	58.81  	68.07 
216  	-0.43 	61.40  	0.1504  	46.27  	53.08  	61.40  	71.73  	84.72  	-0.49 	51.41  	0.1313  	40.15  	45.26  	51.41  	58.88  	68.10 
