weight for Length (cm)*	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22 SD 	21 SD 	Median  	+1 SD  	+2 SD 	 female_L  	female_M  	female_S  	22 SD 	21 SD 	Median 	 +1 SD 	 +2 SD 
45  	0.26  	2.20  	0.0955  	1.81  	2.00  	2.20  	2.42  	2.65  	-0.20 	2.33  	0.0998  	1.91  	2.11  	2.33  	2.57  	2.85 
50  	0.17  	3.25  	0.0949  	2.68  	2.95  	3.25  	3.57  	3.91  	-0.24 	3.29  	0.0968  	2.72  	2.99  	3.29  	3.63  	4.01 
55  	0.07  	4.54  	0.0940  	3.76  	4.14  	4.54  	4.99  	5.48  	-0.29 	4.54  	0.0931  	3.79  	4.14  	4.54  	4.99  	5.50 
60  	-0.05 	6.06  	0.0921  	5.05  	5.53  	6.06  	6.65  	7.30  	-0.34 	5.93  	0.0889  	4.99  	5.43  	5.93  	6.49  	7.13 
65  	-0.18 	7.49  	0.0894  	6.28  	6.85  	7.49  	8.19  	8.98  	-0.40 	7.26  	0.0854  	6.16  	6.68  	7.26  	7.92  	8.67 
70  	-0.30 	8.69  	0.0867  	7.34  	7.98  	8.69  	9.49  	10.38  	-0.46 	8.41  	0.0830  	7.16  	7.75  	8.41  	9.15  	9.99 
75  	-0.40 	9.72  	0.0843  	8.25  	8.94  	9.72  	10.59  	11.57  	-0.51 	9.39  	0.0813  	8.03  	8.67  	9.39  	10.20  	11.13 
80  	-0.50 	10.71  	0.0820  	9.15  	9.88  	10.71  	11.64  	12.70  	-0.56 	10.34  	0.0797  	8.88  	9.57  	10.34  	11.22  	12.22 
85  	-0.60 	11.75  	0.0796  	10.09  	10.87  	11.75  	12.74  	13.89  	-0.61 	11.37  	0.0785  	9.79  	10.53  	11.37  	12.32  	13.41 
90  	-0.70 	12.83  	0.0775  	11.08  	11.90  	12.83  	13.90  	15.12  	-0.67 	12.50  	0.0778  	10.78  	11.58  	12.50  	13.54  	14.73 
95  	-0.80 	13.98  	0.0758  	12.12  	12.99  	13.98  	15.12  	16.44  	-0.73 	13.75  	0.0777  	11.87  	12.75  	13.75  	14.90  	16.22 
100  	-0.91 	15.27  	0.0753  	13.26  	14.20  	15.27  	16.51  	17.96  	-0.80 	15.09  	0.0787  	13.01  	13.98  	15.09  	16.37  	17.86 
105  	-1.02 	16.71  	0.0769  	14.49  	15.52  	16.71  	18.11  	19.76  	-0.86 	16.48  	0.0811  	14.16  	15.24  	16.48  	17.93  	19.63 
110  	-1.12 	18.27  	0.0811  	15.74  	16.91  	18.27  	19.89  	21.85  	-0.92 	17.96  	0.0848  	15.34  	16.55  	17.96  	19.62  	21.60 
