weight for length Height (cm)*	Boys 				 				Girls 							
agem	male_L  	male_M  	male_S  	22 SD 	21 SD	 Median 	 +1 SD  	+2 SD  	female_L  	female_M  	female_S  	22 SD 	21 SD	 Median  	+1 SD  	+2 SD 
65  	-0.20 	7.67  	0.0890  	6.44  	7.02  	7.67  	8.39  	9.19  	-0.41 	7.43  	0.0850  	6.31  	6.84  	7.43  	8.11  	8.87 
70  	-0.31 	8.84  	0.0863  	7.47  	8.12  	8.84  	9.65  	10.56  	-0.47 	8.55  	0.0827  	7.29  	7.89  	8.55  	9.31  	10.16 
75  	-0.41 	9.85  	0.0840  	8.38  	9.07  	9.85  	10.73  	11.73  	-0.52 	9.52  	0.0810  	8.15  	8.79  	9.52  	10.34  	11.28 
80  	-0.51 	10.85  	0.0816  	9.27  	10.02  	10.85  	11.79  	12.87  	-0.56 	10.48  	0.0795  	9.00  	9.70  	10.48  	11.37  	12.38 
85  	-0.61 	11.89  	0.0793  	10.22  	11.01  	11.89  	12.90  	14.06  	-0.62 	11.52  	0.0784  	9.92  	10.67  	11.52  	12.48  	13.58 
90  	-0.71 	12.99  	0.0773  	11.22  	12.05  	12.99  	14.06  	15.30  	-0.68 	12.66  	0.0778  	10.92  	11.74  	12.66  	13.72  	14.93 
95  	-0.82 	14.15  	0.0757  	12.27  	13.15  	14.15  	15.30  	16.64  	-0.74 	13.94  	0.0778  	12.03  	12.92  	13.94  	15.10  	16.44 
100  	-0.93 	15.46  	0.0754  	13.43  	14.38  	15.46  	16.72  	18.19  	-0.80 	15.28  	0.0790  	13.17  	14.16  	15.28  	16.58  	18.10 
105  	-1.04 	16.92  	0.0773  	14.66  	15.71  	16.92  	18.34  	20.03  	-0.87 	16.68  	0.0815  	14.32  	15.42  	16.68  	18.15  	19.89 
110  	-1.13 	18.50  	0.0818  	15.92  	17.11  	18.50  	20.16  	22.18  	-0.93 	18.18  	0.0855  	15.51  	16.74  	18.18  	19.87  	21.90 
115  	-1.21 	20.28  	0.0890  	17.26  	18.63  	20.28  	22.28  	24.77  	-1.00 	19.84  	0.0907  	16.80  	18.19  	19.84  	21.82  	24.24 
120  	-1.27 	22.30  	0.0988  	18.69  	20.31  	22.30  	24.78  	27.99  	-1.07 	21.71  	0.0971  	18.20  	19.79  	21.71  	24.05  	26.99 
125  	-1.31 	24.64  	0.1110  	20.28  	22.21  	24.64  	27.78  	32.04  	-1.16 	23.79  	0.1041  	19.74  	21.57  	23.79  	26.59  	30.20 
